id,title,year,director,genre,era,description,poster_url
MOV001,Bangalore Days,2014,Anjali Menon,"Comedy,Romance",2010s,"Modern youth romance with contemporary fashion",https://m.media-amazon.com/images/M/MV5BMjI3MzcxNzQ5Ml5BMl5BanBnXkFtZTgwMzE1NzE1NTE@._V1_.jpg
MOV002,Premam,2015,Alphonse Puthren,"Romance,Comedy",2010s,"Coming of age story with diverse styling across eras",https://m.media-amazon.com/images/M/MV5BODg3MzYwMDUtYzQwZS00ZjhmLWJhYjMtNGM2OTNjOWJhNmJhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV003,Kireedam,1989,Sibi Malayil,Drama,1980s,"Iconic 80s styling and traditional Kerala fashion",https://m.media-amazon.com/images/M/MV5BODgyODgzNjMtYWNmOC00OTcyLWE3ODYtMTA3NzE1YTBmODE2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV004,Helen,2019,Mathukutty Xavier,Thriller,2010s,"Contemporary urban fashion and restaurant styling",https://m.media-amazon.com/images/M/MV5BZjVkZGVmOTItMWZhMC00NTY0LTllZjYtOWRiMzdhNjRhZGM4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
MOV005,Sudani from Nigeria,2018,Zakariya Mohammed,Drama,2010s,"Soccer-inspired casual wear and sports fashion",https://m.media-amazon.com/images/M/MV5BYzE4MTBiMzYtNjI1NS00MzQ5LTllNzEtNDk0ZGJmMzQ2ZTBjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV006,Virus,2019,Aashiq Abu,Thriller,2010s,"Professional medical attire and formal wear",https://m.media-amazon.com/images/M/MV5BN2E2NDAzODEtYmI2YS00NTY4LWI4YTYtNWJmMjFjN2E1YmVjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV007,Kumbakonam Gopals,1998,Hariharan,Comedy,1990s,"Classic comedy with vintage 90s fashion",https://m.media-amazon.com/images/M/MV5BMjExMzQ4NjM5NV5BMl5BanBnXkFtZTgwNjQyNTY3MzE@._V1_.jpg
MOV008,Manichithrathazhu,1993,Fazil,"Horror,Drama",1990s,"1990s traditional and modern mix styling",https://m.media-amazon.com/images/M/MV5BMTc2MTU3MDgyOF5BMl5BanBnXkFtZTgwNjg1NzY3MzE@._V1_.jpg
MOV009,Ustad Hotel,2012,Anwar Rasheed,Drama,2010s,"Artistic and creative chef/restaurant styling",https://m.media-amazon.com/images/M/MV5BMzAwNDQwMTk3N15BMl5BanBnXkFtZTgwMDc0MzM2MzE@._V1_.jpg
MOV010,Charlie,2015,Martin Prakkat,Drama,2010s,"Bohemian and artistic travel styling",https://m.media-amazon.com/images/M/MV5BMTg3NjI3MDY4N15BMl5BanBnXkFtZTgwNDU1MzY3MzE@._V1_.jpg
MOV011,Queen,2018,Dijo Jose Antony,Comedy,2010s,"Contemporary bridal fashion and family wear",https://m.media-amazon.com/images/M/MV5BZmI3NjIzNDMtNzhjZS00NWZmLWFjNDYtN2I3N2U4OGYzOGZlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV012,Take Off,2017,Mahesh Narayanan,Thriller,2010s,"Professional nurse and diplomatic wear",https://m.media-amazon.com/images/M/MV5BOGNlNTFhYjMtZTc3OS00ZjZjLWFjMjQtMDA2ZGRkZjZjOWY2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV013,The Great Father,2017,Haneef Adeni,Thriller,2010s,"Corporate business and police formal wear",https://m.media-amazon.com/images/M/MV5BNDg3NjIxNzM2N15BMl5BanBnXkFtZTgwMzE1NzM2MzE@._V1_.jpg
MOV014,Lucifer,2019,Prithviraj Sukumaran,Thriller,2010s,"Political power dressing and formal attire",https://m.media-amazon.com/images/M/MV5BNTUyNWJmYTMtOTgyYy00NGEzLWJlMzEtODdiY2I3YmQzN2NhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV015,Captain,2018,Prajesh Sen,Sports,2010s,"Cricket and sports team uniforms",https://m.media-amazon.com/images/M/MV5BNzBkNGM4NDItNzY5YS00OTIzLWE4MzUtODZlNzBjNmJmMzMxXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV016,Finals,2019,P R Arun,Sports,2010s,"College basketball and athletic wear",https://m.media-amazon.com/images/M/MV5BNjI2NTMzMjQtYTc2YS00ZjE3LWE3OTAtYzg5YzE3N2Y4M2Y4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV017,His Highness Abdullah,1990,Sibi Malayil,Comedy,1990s,"Royal vintage looks and traditional formal wear",https://m.media-amazon.com/images/M/MV5BODkyNTM1NjQtNDNjMC00YzBkLWE1NjYtOGZjNGU1YjEwYWM3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV018,Spadikam,1995,Bhadran,Action,1990s,"Rugged vintage masculinity and working-class wear",https://m.media-amazon.com/images/M/MV5BYjIzNzM2YWEtNDRhYS00MzI1LWE4NTMtNjMzZjU3MjU2N2Q3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV019,Jacobinte Swargarajyam,2016,Vineeth Sreenivasan,Drama,2010s,"Family wedding and traditional occasion wear",https://m.media-amazon.com/images/M/MV5BMTc2NjQ4ODM5NF5BMl5BanBnXkFtZTgwNzQ1MjM3MzE@._V1_.jpg
MOV020,Aadu,2015,Midhun Manuel Thomas,Comedy,2010s,"Adventure outdoor and quirky casual wear",https://m.media-amazon.com/images/M/MV5BZTcxNTAzODUtNGUyZS00MGNlLWE2YWUtMzE1MzE0YjU1MzBjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV021,Drishyam,2013,Jeethu Joseph,Thriller,2010s,"Middle-class family styling and professional wear",https://m.media-amazon.com/images/M/MV5BMTY3MzU0MzQ2NF5BMl5BanBnXkFtZTgwNDQ0Mjc1MzE@._V1_.jpg
MOV022,Maheshinte Prathikaaram,2016,Dileesh Pothan,Drama,2010s,"Small town photographer and village casual wear",https://m.media-amazon.com/images/M/MV5BNjI1MTQxMzQtZjdkNS00YjZjLWFkNzEtNGVmODU3NTJmY2NjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV023,Kumbakonam Gopals,1998,Hariharan,Comedy,1990s,"Classic 90s comedy styling and family wear",https://m.media-amazon.com/images/M/MV5BMjExMzQ4NjM5NV5BMl5BanBnXkFtZTgwNjQyNTY3MzE@._V1_.jpg
MOV024,Thondimuthalum Driksakshiyum,2017,Dileesh Pothan,Drama,2010s,"Police procedural and contemporary casual wear",https://m.media-amazon.com/images/M/MV5BNjMxMTgzNjY5NV5BMl5BanBnXkFtZTgwMDU1MzM2MzE@._V1_.jpg
MOV025,Angamaly Diaries,2017,Lijo Jose Pellissery,Action,2010s,"Youth gang styling and local market wear",https://m.media-amazon.com/images/M/MV5BNzE1NzI2NzY2N15BMl5BanBnXkFtZTgwNDU2MzM2MzE@._V1_.jpg
MOV026,Kappela,2020,Muhammad Musthafa,Drama,2020s,"Rural village and modern urban contrast styling",https://m.media-amazon.com/images/M/MV5BNzM1MjA2MjY2N15BMl5BanBnXkFtZTgwMTU2MzM2MzE@._V1_.jpg
MOV027,Minnal Murali,2021,Basil Joseph,Superhero,2020s,"Superhero costume and village tailor styling",https://m.media-amazon.com/images/M/MV5BNjE2NzM2MjY2N15BMl5BanBnXkFtZTgwMzU2MzM2MzE@._V1_.jpg
MOV028,Joji,2021,Dileesh Pothan,Drama,2020s,"Contemporary family dysfunction and business casual",https://m.media-amazon.com/images/M/MV5BNzY1MjE2MjY2N15BMl5BanBnXkFtZTgwNzU2MzM2MzE@._V1_.jpg
MOV029,The Great Indian Kitchen,2021,Jeo Baby,Drama,2020s,"Traditional family wear and modern kitchen styling",https://m.media-amazon.com/images/M/MV5BNzk1MjI2MjY2N15BMl5BanBnXkFtZTgwODU2MzM2MzE@._V1_.jpg
MOV030,Jallikattu,2019,Lijo Jose Pellissery,Thriller,2010s,"Village chaos and traditional Kerala rural wear",https://m.media-amazon.com/images/M/MV5BNjY1MzA2MjY2N15BMl5BanBnXkFtZTgwMDU3MzM2MzE@._V1_.jpg
MOV031,C U Soon,2020,Mahesh Narayanan,Thriller,2020s,"Video call era styling and apartment casual wear",https://m.media-amazon.com/images/M/MV5BNzU1MjE2MjY2N15BMl5BanBnXkFtZTgwNTU2MzM2MzE@._V1_.jpg
MOV032,Unda,2019,Khalid Rahman,Action,2010s,"Police action wear and Chhattisgarh mission styling",https://m.media-amazon.com/images/M/MV5BNzI1MjA2MjY2N15BMl5BanBnXkFtZTgwOTU2MzM2MzE@._V1_.jpg
MOV033,Android Kunjappan,2019,Ratheesh Balakrishnan Poduval,Comedy,2010s,"Elderly care and modern technology casual wear",https://m.media-amazon.com/images/M/MV5BNzA1MjE2MjY2N15BMl5BanBnXkFtZTgwMjU3MzM2MzE@._V1_.jpg
MOV034,Ee.Ma.Yau,2018,Lijo Jose Pellissery,Comedy,2010s,"Funeral comedy and coastal village styling",https://m.media-amazon.com/images/M/MV5BNzE1MzA2MjY2N15BMl5BanBnXkFtZTgwNjU3MzM2MzE@._V1_.jpg
MOV035,Koode,2018,Anjali Menon,Drama,2010s,"Sibling bonding and travel adventure styling",https://m.media-amazon.com/images/M/MV5BNzM1MzE2MjY2N15BMl5BanBnXkFtZTgwOTU3MzM2MzE@._V1_.jpg
MOV036,Mayaanadhi,2017,Aashiq Abu,Romance,2010s,"Urban romance and contemporary fashion",https://m.media-amazon.com/images/M/MV5BNzQ1MjA2MjY2N15BMl5BanBnXkFtZTgwMTU4MzM2MzE@._V1_.jpg
MOV037,Thinkalazhcha Nishchayam,2021,Senna Hegde,Comedy,2020s,"Wedding planning and family comedy styling",https://m.media-amazon.com/images/M/MV5BNzI1MjE3MjY2N15BMl5BanBnXkFtZTgwNjU4MzM2MzE@._V1_.jpg
