id,movie_id,character_name,actor_name,scene_description,theme_day,occasion_type,difficulty_level,colors,fabrics,accessories,styling_tips,image_url
COS001,MOV005,Samuel,Soubin Shahir,Soccer player casual tracksuit look,Sports Monday,Athletic,Easy,"Blue,White","Cotton,Polyester","Sneakers,Cap",Perfect for gym and sports activities,https://m.media-amazon.com/images/M/MV5BYzE4MTBiMzYtNjI1NS00MzQ5LTllNzEtNDk0ZGJmMzQ2ZTBjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS002,MOV005,Majeed,Samuel Abiola Robinson,Nigerian footballer's training attire,Sports Monday,Athletic,Easy,"Green,White",Jersey fabric,"Football boots,Wristbands",Comfortable sportswear for active days,https://m.media-amazon.com/images/M/MV5BYzE4MTBiMzYtNjI1NS00MzQ5LTllNzEtNDk0ZGJmMzQ2ZTBjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS003,MOV002,Malar,Sai Pallavi,College student simple cotton dress,Movie Thursday,Casual,Easy,"Light Blue,White",Cotton,"Canvas bag,Simple sandals",Comfortable everyday college wear,https://m.media-amazon.com/images/M/MV5BODg3MzYwMDUtYzQwZS00ZjhmLWJhYjMtNGM2OTNjOWJhNmJhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS004,MOV001,Divya,Nazriya Nazim,Wedding guest modern saree look,Wedding Tuesday,Wedding Guest,Medium,"Pink,Gold","Silk,Chiffon","Gold jewelry,Clutch",Choose light colors for day weddings,https://m.media-amazon.com/images/M/MV5BMjI3MzcxNzQ5Ml5BMl5BanBnXkFtZTgwMzE1NzE1NTE@._V1_.jpg
COS005,MOV002,Mary,Anupama Parameswaran,Traditional Kerala wedding saree,Wedding Tuesday,Wedding,Hard,"Red,Gold",Silk,Heavy gold jewelry,Classic Kerala bridal styling,https://m.media-amazon.com/images/M/MV5BODg3MzYwMDUtYzQwZS00ZjhmLWJhYjMtNGM2OTNjOWJhNmJhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS006,MOV001,Kuttan,Dulquer Salmaan,Groom's family formal wear,Wedding Tuesday,Wedding,Medium,"Cream,Brown","Cotton,Silk","Watch,Leather shoes",Smart formal for wedding functions,https://m.media-amazon.com/images/M/MV5BMjI3MzcxNzQ5Ml5BMl5BanBnXkFtZTgwMzE1NzE1NTE@._V1_.jpg
COS007,MOV006,Dr. Annu,Parvathy Thiruvothu,Doctor's professional scrubs,Formal Wednesday,Professional,Easy,"Light Blue,White",Cotton blend,"Stethoscope,ID badge",Medical professional attire,https://m.media-amazon.com/images/M/MV5BN2E2NDAzODEtYmI2YS00NTY4LWI4YTYtNWJmMjFjN2E1YmVjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS008,MOV004,Helen,Anna Ben,Restaurant server uniform,Formal Wednesday,Work Uniform,Medium,"Black,White",Cotton blend,"Apron,Non-slip shoes",Professional service industry look,https://m.media-amazon.com/images/M/MV5BZjVkZGVmOTItMWZhMC00NTY0LTllZjYtOWRiMzdhNjRhZGM4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
COS009,MOV006,Rajeev,Tovino Thomas,Epidemic response formal wear,Formal Wednesday,Official,Hard,"Navy Blue,White","Cotton,Polyester","Badge,File folder",Government official styling,https://m.media-amazon.com/images/M/MV5BN2E2NDAzODEtYmI2YS00NTY4LWI4YTYtNWJmMjFjN2E1YmVjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS010,MOV007,Gopalan,Jayaram,90s comedy character colorful look,Movie Thursday,Comedy,Easy,Bright Multi,Cotton,Vintage accessories,Bold patterns and colors were trendy,https://m.media-amazon.com/images/M/MV5BMjExMzQ4NjM5NV5BMl5BanBnXkFtZTgwNjQyNTY3MzE@._V1_.jpg
COS011,MOV004,Helen,Anna Ben,Stylish urban night-out look,Movie Thursday,Party,Medium,"Black,Silver","Denim,Cotton",Statement jewelry,Contemporary urban fashion,https://m.media-amazon.com/images/M/MV5BZjVkZGVmOTItMWZhMC00NTY0LTllZjYtOWRiMzdhNjRhZGM4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
COS012,MOV001,Arjun,Dulquer Salmaan,Casual sporty youth fashion,Sports Monday,Athletic Casual,Easy,"Blue,White","Cotton,Denim","Sneakers,Watch",Modern young athletic casual style,https://m.media-amazon.com/images/M/MV5BMjI3MzcxNzQ5Ml5BMl5BanBnXkFtZTgwMzE1NzE1NTE@._V1_.jpg
COS013,MOV003,Sethu,Mohanlal,1980s police uniform,Retro Friday,Uniform,Hard,"Khaki,Brown","Cotton,Polyester","Belt,Badge,Cap",Crisp lines and proper fit essential,https://m.media-amazon.com/images/M/MV5BODgyODgzNjMtYWNmOC00OTcyLWE3ODYtMTA3NzE1YTBmODE2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS014,MOV008,Ganga,Shobana,Traditional 90s Kerala attire,Retro Friday,Traditional,Medium,"White,Gold","Cotton,Silk",Traditional jewelry,Classic Kerala traditional wear,https://m.media-amazon.com/images/M/MV5BMTc2MTU3MDgyOF5BMl5BanBnXkFtZTgwNjg1NzY3MzE@._V1_.jpg
COS015,MOV007,Ammu,Divya Unni,90s vintage casual dress,Retro Friday,90s Casual,Easy,Floral Print,Cotton,Simple earrings,Vintage casual styling from 90s,https://m.media-amazon.com/images/M/MV5BMjExMzQ4NjM5NV5BMl5BanBnXkFtZTgwNjQyNTY3MzE@._V1_.jpg
COS016,MOV009,Faizi,Dulquer Salmaan,Chef's creative casual restaurant wear,Movie Thursday,Casual,Easy,"White,Blue",Cotton,"Apron,Bandana",Comfortable chef-inspired casual look,https://m.media-amazon.com/images/M/MV5BMzAwNDQwMTk3N15BMl5BanBnXkFtZTgwMDc0MzM2MzE@._V1_.jpg
COS017,MOV010,Tessa,Parvathy Thiruvothu,Bohemian artistic travel outfit,Movie Thursday,Casual,Medium,Earth tones,"Cotton,Linen","Canvas bag,Scarf",Free-spirited adventure styling,https://m.media-amazon.com/images/M/MV5BMTg3NjI3MDY4N15BMl5BanBnXkFtZTgwNDU1MzY3MzE@._V1_.jpg
COS018,MOV015,Arjun,Jayasurya,Cricket team captain uniform,Sports Monday,Athletic,Medium,"Blue,White",Polyester blend,"Cricket pads,Helmet",Professional cricket attire,https://m.media-amazon.com/images/M/MV5BNzBkNGM4NDItNzY5YS00OTIzLWE4MzUtODZlNzBjNmJmMzMxXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS019,MOV016,Rijin,Tovino Thomas,Basketball player athletic wear,Sports Monday,Athletic,Easy,"Red,White",Mesh fabric,"Basketball shoes,Sweatbands",Court-ready basketball styling,https://m.media-amazon.com/images/M/MV5BNjI2NTMzMjQtYTc2YS00ZjE3LWE3OTAtYzg5YzE3N2Y4M2Y4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS020,MOV020,Shaji Pappan,Jayasurya,Adventure outdoor casual wear,Sports Monday,Outdoor,Medium,"Khaki,Green","Cotton,Canvas","Backpack,Trekking shoes",Rugged outdoor adventure look,https://m.media-amazon.com/images/M/MV5BZTcxNTAzODUtNGUyZS00MGNlLWE2YWUtMzE1MzE0YjU1MzBjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS021,MOV011,Sarah,Rima Kallingal,Bridal shower modern outfit,Wedding Tuesday,Bridal Event,Medium,Pastel Pink,"Chiffon,Silk","Delicate jewelry,Clutch",Contemporary pre-wedding styling,https://m.media-amazon.com/images/M/MV5BZmI3NjIzNDMtNzhjZS00NWZmLWFjNDYtN2I3N2U4OGYzOGZlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS022,MOV019,Jacob,Nivin Pauly,Wedding ceremony formal suit,Wedding Tuesday,Wedding,Hard,"Navy Blue,White","Wool,Cotton","Tie,Cufflinks,Watch",Sharp formal wedding guest attire,https://m.media-amazon.com/images/M/MV5BMTc2NjQ4ODM5NF5BMl5BanBnXkFtZTgwNzQ1MjM3MzE@._V1_.jpg
COS023,MOV009,Shahid,Thilakan,Traditional wedding elder wear,Wedding Tuesday,Traditional,Medium,"Cream,Gold","Cotton,Silk",Traditional watch,Respectful elder's wedding attire,https://m.media-amazon.com/images/M/MV5BMzAwNDQwMTk3N15BMl5BanBnXkFtZTgwMDc0MzM2MzE@._V1_.jpg
COS024,MOV010,Charlie,Dulquer Salmaan,Casual wedding function outfit,Wedding Tuesday,Casual Wedding,Easy,"Light Blue,White","Cotton,Linen","Casual shoes,Watch",Relaxed wedding function styling,https://m.media-amazon.com/images/M/MV5BMTg3NjI3MDY4N15BMl5BanBnXkFtZTgwNDU1MzY3MzE@._V1_.jpg
COS025,MOV012,Sameera,Parvathy Thiruvothu,Professional nurse uniform,Formal Wednesday,Healthcare,Easy,"White,Blue",Cotton blend,"ID badge,Comfortable shoes",Clean professional medical attire,https://m.media-amazon.com/images/M/MV5BOGNlNTFhYjMtZTc3OS00ZjZjLWFjMjQtMDA2ZGRkZjZjOWY2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
